,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
928,(주)스카이문스테크놀로지,033790,2012.0,1,-29.21
929,(주)스카이문스테크놀로지,033790,2013.0,0,-29.21
930,(주)스카이문스테크놀로지,033790,2016.0,1,-29.21
931,(주)스카이문스테크놀로지,033790,2017.0,1,-8.45
932,(주)스카이문스테크놀로지,033790,2018.0,1,-5.76
933,(주)파라다이스,034230,2018.0,0,0.07
934,조아제약(주),034940,2015.0,1,0.27
935,조아제약(주),034940,2016.0,1,-0.01
936,조아제약(주),034940,2017.0,0,0.58
937,(주)골드앤에스,035290,2013.0,1,-3.83
938,(주)골드앤에스,035290,2014.0,0,-1.41
939,(주)골드앤에스,035290,2018.0,1,-4.56
940,(주)기산텔레콤,035460,2012.0,0,0.71
941,(주)기산텔레콤,035460,2017.0,1,-6.37
942,(주)기산텔레콤,035460,2018.0,0,-5.52
943,(주)제이테크놀로지,035480,2012.0,1,-5.39
944,(주)제이테크놀로지,035480,2013.0,0,-2.29
945,(주)바른손이앤에이,035620,2013.0,1,-24.82
946,(주)바른손이앤에이,035620,2014.0,0,-9.87
947,(주)바른손이앤에이,035620,2018.0,1,-14.64
948,(주)서희건설,035890,2012.0,0,0.47
949,(주)제이와이피엔터테인먼트,035900,2013.0,0,-4.41
950,(주)케이티알파,036030,2011.0,1,-29.21
951,(주)케이티알파,036030,2012.0,0,-29.21
952,(주)인포피아,036220,2013.0,1,-4.34
953,(주)이매진아시아,036260,2013.0,1,-9.32
954,(주)이매진아시아,036260,2014.0,1,0.39
955,(주)이매진아시아,036260,2015.0,1,0.2
956,(주)이매진아시아,036260,2016.0,1,-9.66
957,(주)이매진아시아,036260,2017.0,1,-6.21
958,감성코퍼레이션(주),036620,2011.0,1,-16.36
959,감성코퍼레이션(주),036620,2012.0,1,-2.01
960,감성코퍼레이션(주),036620,2013.0,1,-2.59
961,감성코퍼레이션(주),036620,2014.0,1,0.29
962,감성코퍼레이션(주),036620,2015.0,1,0.2
963,감성코퍼레이션(주),036620,2016.0,1,-0.93
964,감성코퍼레이션(주),036620,2017.0,1,0.04
