,거래소코드,회계년도,시가총액
388,104830,2011,223010000000
389,123100,2011,222369567750
390,004430,2011,222240000000
391,078340,2011,221908412000
392,024720,2011,221682032640
393,130660,2011,220050000000
394,008560,2011,217442633408
395,080000,2011,216594782000
396,900180,2011,213776980890
397,044820,2011,213405609800
398,007660,2011,212944933680
399,014680,2011,211784906250
400,049550,2011,211056300000
401,001200,2011,210458027340
402,003120,2011,210140000000
403,104700,2011,209527500000
404,008970,2011,209028002210
405,003480,2011,208775770840
406,004840,2011,208560000000
407,145990,2011,206701810500
408,005720,2011,204862410000
409,015350,2011,204600000000
410,012650,2011,204221568880
411,042420,2011,203740268500
412,065650,2011,203316668720
413,005160,2011,202500000000
414,080160,2011,202440000000
415,004130,2011,201846763530
416,038290,2011,200855881000
417,014190,2011,200653437500
418,003720,2011,200260000000
419,008730,2011,198896000000
420,012510,2011,198807090000
421,008930,2011,197991719200
422,004970,2011,196800000000
423,003200,2011,196800000000
424,052260,2011,196500000000
425,009290,2011,196053982740
426,066700,2011,195593149740
427,000050,2011,195104000000
428,002620,2011,194535000000
429,074430,2011,194287871250
430,023000,2011,193200000000
431,030610,2011,192600000000
432,094190,2011,191651632750
433,123330,2011,190281753100
434,034830,2011,189619411730
435,054050,2011,189475000000
436,082850,2011,188608069650
437,000230,2011,188511848800
438,012320,2011,188179200000
439,036530,2011,188035129800
440,001725,2011,187982783950
441,003545,2011,187980000000
442,005810,2011,187652249650
443,019170,2011,187430652150
444,005680,2011,186000000000
445,900120,2011,186000000000
446,035600,2011,185153419360
447,017900,2011,185130322785
448,035810,2011,184926009730
449,003940,2011,184529670600
450,094840,2011,184100000000
451,099660,2011,183831175000
452,000300,2011,183812820940
453,122990,2011,183253702000
454,002880,2011,183208938290
455,102710,2011,183180000000
456,104480,2011,183150000000
457,053320,2011,183136067780
458,073110,2011,181952534400
459,021320,2011,181250000000
460,092230,2011,180603616500
461,001790,2011,179833844000
462,099220,2011,179200000000
463,036220,2011,178843983500
464,064760,2011,178627500000
465,016610,2011,178274833800
466,048260,2011,176814900000
467,041520,2011,176736585000
468,001270,2011,176288062000
469,053740,2011,175858200000
470,008490,2011,175850517600
471,034310,2011,175699775600
472,053030,2011,175263159060
473,003800,2011,174113000000
474,004710,2011,173955835900
475,036890,2011,173600000000
476,002030,2011,173444801400
477,002900,2011,173280585000
478,001210,2011,173247077550
479,104200,2011,173152640000
480,900040,2011,172000000000
481,029960,2011,171750000000
482,058470,2011,171677220000
483,004560,2011,171144504850
484,016450,2011,171123439410
485,106190,2011,170839646200
486,089470,2011,170027000000
487,029460,2011,169561076880
488,102940,2011,167390899200
489,041830,2011,166942140400
490,003090,2011,166761111150
491,017960,2011,166085000000
492,003460,2011,165571051800
493,049070,2011,165550000000
494,000155,2011,165379450650
495,003640,2011,165186000000
496,089850,2011,164651435850
497,128820,2011,163331893500
498,033240,2011,162340200000
499,034940,2011,162217623630
500,032620,2011,161347312350
501,032350,2011,161150000000
502,036000,2011,160467968240
503,042700,2011,159463913070
504,047560,2011,158637885000
505,101680,2011,158415400000
506,007810,2011,157930401900
507,097780,2011,157587548700
508,052400,2011,155631407600
509,004380,2011,155400000000
510,084010,2011,154592019680
511,003560,2011,154489256670
512,005290,2011,154281383080
513,089530,2011,154279879020
514,092200,2011,153853000000
515,065060,2011,153620738280
516,015360,2011,153000000000
517,091690,2011,152807561100
518,092600,2011,152346250000
519,012610,2011,151312500000
520,036560,2011,151200000000
521,018120,2011,150480000000
522,011370,2011,150333348850
523,138490,2011,149640000000
524,010460,2011,148562138400
525,015590,2011,148071402450
526,053660,2011,147852000000
527,016250,2011,147840000000
528,017040,2011,147564579075
529,001780,2011,147385340670
530,088390,2011,147059096300
531,035000,2011,146290221470
532,126880,2011,145600000000
533,087220,2011,144300000000
534,117580,2011,144100000000
535,084690,2011,143944838550
536,009160,2011,143388680250
537,121600,2011,142836384500
538,086520,2011,142835298750
539,001060,2011,142769339250
540,016100,2011,142619160150
541,036580,2011,142424720000
542,043650,2011,142330682880
543,030190,2011,141769104700
544,002390,2011,141520000000
545,092440,2011,141474000000
546,071660,2011,141374445680
547,035900,2011,141228438300
548,084990,2011,140897275400
549,014820,2011,140494829300
550,086900,2011,139716414500
551,004890,2011,139449862500
552,064260,2011,139233996330
553,060720,2011,139040000000
554,002450,2011,138240597320
555,005980,2011,137740617300
556,006370,2011,137434459700
557,025770,2011,137397110220
558,011930,2011,136512351000
559,060590,2011,136051732700
560,031390,2011,135956630280
561,900080,2011,135800000000
562,047310,2011,135176925060
563,005390,2011,135085886600
564,079430,2011,134986103000
565,011040,2011,132617250000
566,052330,2011,132431457600
567,080420,2011,130442751250
568,007210,2011,130264000000
569,131290,2011,129898211400
570,105840,2011,128898000000
571,036210,2011,127900846415
572,900150,2011,127548571740
573,073490,2011,126952875000
574,095500,2011,126927954850
575,083930,2011,126429469400
576,005010,2011,126264760250
577,071970,2011,126218000000
578,025900,2011,126125025180
579,065510,2011,125628670700
580,089030,2011,125209696000
581,083790,2011,125102082560
582,950070,2011,124950000000
583,100840,2011,124689171200
584,102280,2011,124672815000
585,086450,2011,124488000000
586,017810,2011,123795587500
587,032190,2011,123343500000
588,091090,2011,122612123305
589,067990,2011,122591059500
590,030210,2011,122437606760
591,002780,2011,122329990222
592,005389,2011,122304055650
593,007820,2011,122231200000
594,001940,2011,121944108000
595,052790,2011,121795960000
596,027580,2011,121617100000
597,065940,2011,121000000000
598,061460,2011,120831157720
599,038390,2011,120682194000
600,085310,2011,120635082600
601,008600,2011,120192280000
602,011785,2011,120183568500
603,102460,2011,119970000000
604,138690,2011,119880000000
605,065620,2011,119309471590
606,031980,2011,118549955580
607,003070,2011,118475251405
608,052270,2011,118360521840
609,021820,2011,118000000000
610,012700,2011,117696612000
611,038990,2011,117217357600
612,024090,2011,117000000000
613,040300,2011,115920000000
614,036090,2011,115568753125
615,115480,2011,115556905800
616,016710,2011,114878737260
617,101390,2011,114187072380
618,006220,2011,114184473840
619,009200,2011,114009509400
620,900090,2011,114000000000
621,000020,2011,113960397600
622,096760,2011,113919810785
623,007200,2011,113575000000
624,029480,2011,113428004284
625,013580,2011,112975973550
626,119500,2011,112861359000
627,038880,2011,112516798440
628,026180,2011,112494992550
629,011280,2011,112227414900
630,071670,2011,112000000000
631,032960,2011,111673201400
632,045390,2011,111660606220
633,027390,2011,111600000000
634,057030,2011,111578847480
635,003850,2011,111071700000
636,028100,2011,110745000000
637,009310,2011,110649060990
638,005500,2011,110505000000
639,016580,2011,109740413000
640,068790,2011,109579700730
641,000800,2011,109169576710
642,003100,2011,108900000000
643,001530,2011,108473603000
644,143160,2011,108406380000
645,066970,2011,108244500000
646,043150,2011,107693356000
647,065770,2011,107520000000
648,019260,2011,107417343200
649,024950,2011,107383237930
650,004540,2011,107195272850
651,045100,2011,107100000000
652,005070,2011,107007955200
653,035450,2011,106607204880
654,005620,2011,106145543000
655,007150,2011,105897899210
656,000835,2011,105524423100
657,003060,2011,105504576400
658,061970,2011,105157258560
659,005610,2011,104842459350
660,058430,2011,104700000000
661,015860,2011,104616663960
662,024660,2011,104385388770
663,041650,2011,104029175250
664,092220,2011,103886940738
665,012690,2011,103679507925
666,043290,2011,103657375000
667,001340,2011,103233672850
668,043100,2011,103203170200
669,007700,2011,103180000000
670,016560,2011,102940920000
671,067170,2011,102488890560
672,046210,2011,102240804430
673,033560,2011,102240000000
674,004140,2011,101808378100
675,069640,2011,101200000000
676,012800,2011,101165953890
677,060560,2011,101080000000
678,119650,2011,100980000000
679,060300,2011,100393225500
680,022520,2011,100222294200
681,003830,2011,99998400000
682,027710,2011,99857676405
683,081000,2011,99810078750
684,072520,2011,99750000000
685,129260,2011,99721670400
686,122450,2011,99624537900
687,033500,2011,99434599165
688,101730,2011,99264000000
689,012030,2011,99258844400
690,008020,2011,98926903200
691,005960,2011,98819214575
692,004250,2011,98776800000
693,000850,2011,98670000000
694,046440,2011,98638379460
695,012170,2011,98136346660
696,072020,2011,98088000000
697,060150,2011,97938750000
698,058860,2011,97445600000
699,005430,2011,97207098500
700,090730,2011,97110000000
701,002300,2011,97096010600
702,011150,2011,97013087100
703,008080,2011,96453546875
704,012200,2011,96333000000
705,102260,2011,96244653330
706,058850,2011,96223950000
707,001460,2011,96190710000
708,065420,2011,96079865600
709,039560,2011,95705711080
710,079660,2011,95228000000
711,078070,2011,95188000000
712,040420,2011,95186960960
713,000860,2011,94900000000
714,037330,2011,94497151650
715,024880,2011,94409445600
716,031330,2011,94395980920
717,067830,2011,94394058500
718,035610,2011,93113119785
719,084730,2011,92689764950
720,000910,2011,92680145900
721,034950,2011,92626485600
722,015890,2011,92508993750
723,025560,2011,92506757850
724,052220,2011,92345000000
725,131100,2011,91640000000
726,100120,2011,91217008800
727,000320,2011,90674457570
728,067080,2011,90644427000
729,010820,2011,90256141200
730,108380,2011,90110397000
731,000180,2011,90000000000
732,065270,2011,89854575800
733,013520,2011,89740081900
734,107590,2011,89504100000
735,121910,2011,89123100000
736,097955,2011,89070754300
737,074600,2011,88929360000
738,017890,2011,88907702400
739,002810,2011,88800000000
740,052290,2011,88723495440
741,086200,2011,88521185600
742,086890,2011,88470683700
743,054670,2011,87954297350
744,037440,2011,87850817250
745,056080,2011,87729748650
746,033270,2011,87489820600
747,000490,2011,87201171750
748,109860,2011,87150000000
749,021050,2011,87140847850
750,005945,2011,86995162480
751,006980,2011,86983500000
752,066910,2011,86929243555
753,090460,2011,86853364500
754,110310,2011,86851296300
755,033130,2011,86849724780
756,004080,2011,86592000000
757,003960,2011,86577912750
758,032850,2011,86246537920
759,054800,2011,86076810000
760,104460,2011,86073450000
761,000215,2011,86070000000
762,092130,2011,85750432000
763,047400,2011,85470000000
764,138070,2011,85275000000
765,007590,2011,85246032020
766,007720,2011,84672380520
767,004780,2011,84445986690
768,005800,2011,84420000000
769,090120,2011,84274479260
770,123860,2011,84225356800
771,063160,2011,84194772900
772,106240,2011,83483954050
773,048530,2011,83386330300
774,007110,2011,83265855750
775,017510,2011,83090700000
776,065130,2011,83088530200
777,095190,2011,83037998450
778,034590,2011,82800000000
779,108860,2011,82597969930
780,002710,2011,82240000000
781,042370,2011,82101220530
782,058400,2011,81973996680
783,131390,2011,81753000000
784,001390,2011,81641000000
785,003650,2011,81590616800
786,057500,2011,81557276080
787,052860,2011,81468470720
788,001750,2011,81462617600
789,002840,2011,81383240400
790,080220,2011,81349296300
791,009270,2011,81344830450
792,075180,2011,81216000000
793,039840,2011,81184754430
794,039860,2011,80937642240
795,025320,2011,80412709285
796,004960,2011,80257967100
797,100220,2011,80178800000
798,041910,2011,79494450100
799,000040,2011,79362017035
800,095700,2011,79340278500
801,094820,2011,79314009340
802,137950,2011,79239600000
803,006405,2011,79196009200
804,120240,2011,79074804900
805,088910,2011,78981300000
806,001540,2011,78948741200
807,019550,2011,78926422025
808,019685,2011,78873579400
809,059100,2011,78838979500
810,023800,2011,78832665600
811,123700,2011,78648685920
812,024840,2011,78631338800
813,000390,2011,78400000000
814,032500,2011,78246000000
815,017550,2011,78198414500
816,035510,2011,77744000000
817,00341A,2011,77625000000
818,066350,2011,77554985600
819,002680,2011,76960000000
820,007540,2011,76881200000
821,059090,2011,76756858740
822,039830,2011,76631776800
823,003555,2011,76569038700
824,050110,2011,76513655120
825,009450,2011,76437060000
826,010100,2011,76430554200
827,050090,2011,76275263790
828,033050,2011,75909866860
829,074130,2011,75131700000
830,099340,2011,75095460000
831,099320,2011,75029795000
832,043610,2011,74863660445
833,004700,2011,74802802500
834,012160,2011,74768929200
835,100250,2011,74620214820
836,005190,2011,74400817200
837,005560,2011,73961160000
838,096610,2011,73900827000
839,065150,2011,73772884360
840,001820,2011,73284750000
841,052190,2011,73278000000
842,048910,2011,73207191680
843,095610,2011,73131240000
844,060250,2011,73123721820
845,006910,2011,72858658500
846,009280,2011,72554172600
847,009155,2011,72529250800
848,006440,2011,72288228600
849,084110,2011,72180000000
850,000970,2011,72049580000
851,100090,2011,72000000000
852,009180,2011,71975628000
853,079950,2011,71920000000
854,069460,2011,71771649155
855,051780,2011,71722002300
856,049950,2011,71705350080
857,015230,2011,71600000000
858,084680,2011,71469225360
859,028080,2011,71314459020
860,010050,2011,71061625750
861,053280,2011,71036000000
862,053290,2011,71029425000
863,086040,2011,70536282140
864,096240,2011,70523792500
865,052900,2011,70290000000
866,002630,2011,70244921420
867,078600,2011,70134854200
868,036010,2011,69852380000
869,111870,2011,69730000000
870,059210,2011,69598448920
871,017180,2011,69572760840
872,065160,2011,69393836610
873,033160,2011,69141070090
874,090370,2011,69100000000
875,016090,2011,69055522750
876,078000,2011,68986239660
877,086960,2011,68901104740
878,017680,2011,68897530400
879,058530,2011,68839086700
880,020710,2011,68654102400
881,012860,2011,68445000000
882,003547,2011,68400000000
883,008350,2011,68311035800
884,101170,2011,68220000000
885,032860,2011,68080289925
886,025850,2011,68020000000
887,082210,2011,68009865000
888,119610,2011,67677500000
889,053980,2011,67598156390
890,024810,2011,67592907161
891,127120,2011,67501252000
892,139200,2011,67499929420
893,101930,2011,67439535750
894,089010,2011,67360238400
895,053350,2011,67289114400
