회사명,거래소코드,회계년도,이자보상배율(이자비용)
(주)대우건설,047040,2009/12,1.17
(주)대우건설,047040,2010/12,-1.71
(주)대웅,003090,2009/03,999999999
(주)대웅,003090,2010/03,999999999
(주)대웅제약,069620,2009/03,9.49
(주)대웅제약,069620,2010/03,12.88
(주)대원,007680,2009/12,0.79
(주)대원,007680,2010/12,3.3
(주)대유,290380,2009/12,2.21
(주)대유,290380,2010/12,2.84
(주)대유에이텍,002880,2009/12,-0.43
(주)대유에이텍,002880,2010/12,3.82
(주)대유플러스,000300,2009/12,1.64
(주)대유플러스,000300,2010/12,1.56
(주)대창,012800,2009/12,3.77
(주)대창,012800,2010/12,3.33
(주)대창솔루션,096350,2009/12,7.47
(주)대창솔루션,096350,2010/12,2.97
(주)대창스틸,140520,2009/12,1.72
(주)대창스틸,140520,2010/12,3.53
(주)대한과학,131220,2009/12,27.97
(주)대한과학,131220,2010/12,28.13
(주)대한항공,003490,2009/12,0.24
(주)대한항공,003490,2010/12,1.96
(주)대현,016090,2009/12,12.53
(주)대현,016090,2010/12,14.33
(주)대호에이엘,069460,2009/12,1.32
(주)대호에이엘,069460,2010/12,3.16
(주)대호특수강,021040,2009/12,0.71
(주)대호특수강,021040,2010/12,1.16
(주)더존비즈온,012510,2009/12,17.49
(주)더존비즈온,012510,2010/12,31.43
(주)더코디,224060,2009/12,-2.7
(주)더코디,224060,2010/12,15.61
(주)덕성,004830,2009/12,5.46
(주)덕성,004830,2010/12,5.34
(주)덕신하우징,090410,2009/12,5.88
(주)덕신하우징,090410,2010/12,0.18
(주)데이타솔루션,263800,2010/12,
(주)덴티움,145720,2009/12,15.97
(주)덴티움,145720,2010/12,67.52
(주)도화엔지니어링,002150,2009/12,88.23
(주)도화엔지니어링,002150,2010/12,35.06
(주)동구바이오제약,006620,2009/12,1.95
(주)동구바이오제약,006620,2010/12,1.45
(주)동국알앤에스,075970,2009/12,1.99
(주)동국알앤에스,075970,2010/12,2.58
(주)동국에스엔씨,100130,2009/12,13.62
(주)동국에스엔씨,100130,2010/12,-22.73
(주)동남합성,023450,2009/12,105.15
(주)동남합성,023450,2010/12,113.94
(주)동방,004140,2009/12,1.76
(주)동방,004140,2010/12,0.69
(주)동방선기,099410,2009/12,7.46
(주)동방선기,099410,2010/12,0.85
(주)동방아그로,007590,2009/12,11.08
(주)동방아그로,007590,2010/12,13.44
(주)동서,026960,2009/12,822766.88
(주)동서,026960,2010/12,999999999
(주)동성케미컬,102260,2009/12,0.59
(주)동성케미컬,102260,2010/12,1.09
(주)동성화인텍,033500,2009/12,1.63
(주)동성화인텍,033500,2010/12,1.48
(주)동아엘텍,088130,2009/12,51.3
(주)동아엘텍,088130,2010/12,999999999
(주)동아지질,028100,2009/12,26.24
(주)동아지질,028100,2010/12,45.85
(주)동양,001520,2009/12,-0.09
(주)동양,001520,2010/12,-0.01
(주)동양고속,084670,2009/12,183.34
(주)동양고속,084670,2010/12,25.41
(주)동양에스텍,060380,2009/12,-1.96
(주)동양에스텍,060380,2010/12,1.9
(주)동우팜투테이블,088910,2009/12,63.22
(주)동우팜투테이블,088910,2010/12,92.97
(주)동운아나텍,094170,2009/12,3.33
(주)동운아나텍,094170,2010/12,5.17
(주)동원개발,013120,2009/12,0.65
(주)동원개발,013120,2010/12,2.37
(주)동원에프앤비,049770,2009/12,4.38
(주)동원에프앤비,049770,2010/12,6.92
(주)동일기연,032960,2009/12,1469.61
(주)동일기연,032960,2010/12,1348.41
(주)동진쎄미켐,005290,2009/12,2.7
(주)동진쎄미켐,005290,2010/12,2.12
(주)두산,000150,2009/12,-1.14
(주)두산,000150,2010/12,11.12
(주)두산테스나,131970,2009/12,4.46
(주)두산테스나,131970,2010/12,5.13
(주)두올,016740,2009/12,0.66
(주)두올,016740,2010/12,-3.04
(주)듀오백,073190,2009/12,999999999
(주)듀오백,073190,2010/12,3927.93
(주)드래곤플라이,030350,2009/12,19
(주)드래곤플라이,030350,2010/12,21.15
(주)드림어스컴퍼니,060570,2009/12,-15.59
(주)드림어스컴퍼니,060570,2010/12,-21.81
(주)드림텍,192650,2009/12,35.13
